file_name;predicted;true;cv_step;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-ambulance/ge_a_1.wav;germany-police;germany-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-ambulance/ge_a_3.wav;germany-firefighter;germany-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-ambulance/ge_a_4.wav;germany-firefighter;germany-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-ambulance/ge_a_5.wav;germany-firefighter;germany-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-ambulance/ge_a_6.wav;germany-firefighter;germany-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-ambulance/ge_a_7.wav;germany-firefighter;germany-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-ambulance/ge_a_8.wav;germany-firefighter;germany-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-ambulance/ge_a_9.wav;germany-police;germany-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-ambulance/ge_a_10.wav;germany-firefighter;germany-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-firefighter/ge_f_1.wav;germany-ambulance;germany-firefighter;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-firefighter/ge_f_2.wav;germany-ambulance;germany-firefighter;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-firefighter/ge_f_3.wav;germany-ambulance;germany-firefighter;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-firefighter/ge_f_4.wav;germany-ambulance;germany-firefighter;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-firefighter/ge_f_5.wav;germany-ambulance;germany-firefighter;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-firefighter/ge_f_7.wav;germany-ambulance;germany-firefighter;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-police/ge_p_1.wav;germany-ambulance;germany-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-police/ge_p_2.wav;germany-firefighter;germany-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-police/ge_p_3.wav;germany-firefighter;germany-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-police/ge_p_5.wav;germany-firefighter;germany-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-police/ge_p_6.wav;germany-firefighter;germany-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-police/ge_p_7.wav;germany-firefighter;germany-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-police/ge_p_8.wav;germany-ambulance;germany-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-police/ge_p_9.wav;germany-firefighter;germany-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/germany-police/ge_p_10.wav;germany-ambulance;germany-police;1;
