file_name;predicted;true;cv_step;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/spain-ambulance/sp_a_2.wav;spain-police;spain-ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/spain-firefighter/sp_f_1.wav;spain-ambulance;spain-firefighter;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/spain-firefighter/sp_f_6.wav;spain-ambulance;spain-firefighter;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/spain-firefighter/sp_f_7.wav;spain-ambulance;spain-firefighter;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/spain-firefighter/sp_f_9.wav;spain-ambulance;spain-firefighter;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/spain-firefighter/sp_f_10.wav;spain-ambulance;spain-firefighter;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/spain-police/sp_p_1.wav;spain-ambulance;spain-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/spain-police/sp_p_2.wav;spain-ambulance;spain-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/spain-police/sp_p_3.wav;spain-ambulance;spain-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/spain-police/sp_p_4.wav;spain-ambulance;spain-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/spain-police/sp_p_5.wav;spain-ambulance;spain-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/spain-police/sp_p_6.wav;spain-ambulance;spain-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/spain-police/sp_p_7.wav;spain-ambulance;spain-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/spain-police/sp_p_8.wav;spain-ambulance;spain-police;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype+country_balance/spain-police/sp_p_10.wav;spain-ambulance;spain-police;1;
