file_name;predicted;true;cv_step;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-ambulance\fr_a_7_mixup_3.wav;france-firefighter;france-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-ambulance\fr_a_7_original.wav;france-firefighter;france-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-ambulance\fr_a_7_random_erasing_1.wav;france-firefighter;france-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-ambulance\fr_a_7_random_rotate_2.wav;france-firefighter;france-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-ambulance\fr_a_9_grid_distortion_3.wav;france-firefighter;france-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-ambulance\fr_a_9_original.wav;france-firefighter;france-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-ambulance\fr_a_9_random_erasing_1.wav;france-firefighter;france-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-ambulance\fr_a_9_spec_augment_2.wav;france-police;france-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-ambulance\fr_a_10_original.wav;france-firefighter;france-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-ambulance\fr_a_10_random_brightness_2.wav;france-firefighter;france-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-ambulance\fr_a_10_random_rotate_1.wav;france-firefighter;france-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-ambulance\fr_a_10_spec_augment_3.wav;france-firefighter;france-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-police\fr_p_2_mixup_2.wav;france-firefighter;france-police;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-police\fr_p_2_spec_augment_1.wav;france-ambulance;france-police;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-police\fr_p_3_spec_augment_1.wav;france-ambulance;france-police;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-police\fr_p_4_mixup_2.wav;france-firefighter;france-police;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-police\fr_p_4_original.wav;france-firefighter;france-police;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-police\fr_p_4_random_brightness_1.wav;france-firefighter;france-police;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-police\fr_p_4_random_erasing_3.wav;france-firefighter;france-police;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-police\fr_p_8_grid_distortion_3.wav;france-firefighter;france-police;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-police\fr_p_8_original.wav;france-firefighter;france-police;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\france-police\fr_p_8_spec_augment_1.wav;france-firefighter;france-police;1;
