file_name;predicted;true;cv_step;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_1_mixup_2.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_3_mixup_3.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_3_original.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_3_random_erasing_2.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_3_spec_augment_1.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_4_grid_distortion_2.wav;italy-police;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_4_original.wav;italy-police;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_4_random_erasing_1.wav;italy-police;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_4_random_rotate_3.wav;italy-police;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_5_grid_distortion_1.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_5_mixup_3.wav;italy-police;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_5_original.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_5_spec_augment_2.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_6_mixup_1.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_6_original.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_6_random_brightness_2.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_6_random_erasing_3.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_9_mixup_2.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_9_original.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_9_random_erasing_1.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_9_random_rotate_3.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_10_original.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_10_random_erasing_2.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_10_random_rotate_1.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-ambulance\it_a_10_spec_augment_3.wav;italy-firefighter;italy-ambulance;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_1_grid_distortion_1.wav;italy-ambulance;italy-firefighter;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_1_original.wav;italy-ambulance;italy-firefighter;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_1_random_erasing_2.wav;italy-ambulance;italy-firefighter;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_1_random_rotate_3.wav;italy-ambulance;italy-firefighter;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_2_grid_distortion_2.wav;italy-ambulance;italy-firefighter;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_2_mixup_1.wav;italy-ambulance;italy-firefighter;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_2_original.wav;italy-ambulance;italy-firefighter;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_2_random_erasing_3.wav;italy-ambulance;italy-firefighter;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_3_mixup_2.wav;italy-police;italy-firefighter;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_3_original.wav;italy-police;italy-firefighter;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_3_random_brightness_3.wav;italy-police;italy-firefighter;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_3_random_erasing_1.wav;italy-police;italy-firefighter;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_4_grid_distortion_3.wav;italy-ambulance;italy-firefighter;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_4_original.wav;italy-ambulance;italy-firefighter;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_4_random_brightness_1.wav;italy-ambulance;italy-firefighter;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_4_random_rotate_2.wav;italy-ambulance;italy-firefighter;1;
D:\DATASET\test-balance-country-class_augmented_12_upgraded\italy-firefighter\it_f_5_mixup_1.wav;italy-police;italy-firefighter;1;
