2024-06-04 21:59:39.489 [ALFpaka] [INFO] ###################################################### (start_training_session:128)
2024-06-04 21:59:39.490 [ALFpaka] [INFO] ---- Config file 1 of 1 (start_training_session:129)
2024-06-04 21:59:39.490 [ALFpaka] [INFO]  Reading config .... resnet_siren_EU1_wns.json (read_training_config:28)
2024-06-04 21:59:41.070 [ALFpaka] [WARNING] global batch_size ignored when batch_size is set in generator (read_training_config:269)
2024-06-04 21:59:41.073 [ALFpaka] [INFO]  Reading config .... done. (read_training_config:424)
2024-06-04 21:59:41.074 [ALFpaka] [INFO] ... START TRAINING ... (start_training_session:88)
2024-06-04 21:59:41.074 [ALFpaka] [INFO] Start-Time: 1717531181.0749547 (training:126)
2024-06-04 21:59:41.075 [ALFpaka] [INFO] france with id 0 (evaluate_results:153)
2024-06-04 21:59:41.075 [ALFpaka] [INFO] germany with id 1 (evaluate_results:153)
2024-06-04 21:59:41.075 [ALFpaka] [INFO] italy with id 2 (evaluate_results:153)
2024-06-04 21:59:41.075 [ALFpaka] [INFO] spain with id 3 (evaluate_results:153)
2024-06-04 21:59:41.076 [ALFpaka] [INFO] ------ Extracting features ------ (extract_features:34)
2024-06-04 21:59:41.400 [ALFpaka] [INFO] Extracting features for class france with id 0 (get_features_for_dataset:69)
2024-06-04 21:59:41.790 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.791 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.792 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.791 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.792 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.792 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.794 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.793 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.795 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.794 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.799 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.799 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.800 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.796 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.800 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.795 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.801 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.796 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.797 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.797 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.802 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.798 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.808 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.803 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.808 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.811 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 21:59:41.799 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
