2024-06-04 22:04:01.065 [ALFpaka] [INFO] ###################################################### (start_training_session:128)
2024-06-04 22:04:01.065 [ALFpaka] [INFO] ---- Config file 1 of 1 (start_training_session:129)
2024-06-04 22:04:01.065 [ALFpaka] [INFO]  Reading config .... resnet_siren_EU3_wns.json (read_training_config:28)
2024-06-04 22:04:01.555 [ALFpaka] [WARNING] global batch_size ignored when batch_size is set in generator (read_training_config:269)
2024-06-04 22:04:01.557 [ALFpaka] [INFO]  Reading config .... done. (read_training_config:424)
2024-06-04 22:04:01.558 [ALFpaka] [INFO] ... START TRAINING ... (start_training_session:88)
2024-06-04 22:04:01.558 [ALFpaka] [INFO] Start-Time: 1717531441.5588531 (training:126)
2024-06-04 22:04:01.559 [ALFpaka] [INFO] ambulance with id 0 (evaluate_results:153)
2024-06-04 22:04:01.559 [ALFpaka] [INFO] firefighter with id 1 (evaluate_results:153)
2024-06-04 22:04:01.559 [ALFpaka] [INFO] police with id 2 (evaluate_results:153)
2024-06-04 22:04:01.560 [ALFpaka] [INFO] ------ Extracting features ------ (extract_features:34)
2024-06-04 22:04:01.828 [ALFpaka] [INFO] Extracting features for class ambulance with id 0 (get_features_for_dataset:69)
2024-06-04 22:04:02.553 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 22:04:02.554 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 22:04:02.554 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 22:04:02.554 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 22:04:02.554 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 22:04:02.554 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 22:04:02.555 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 22:04:02.555 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 22:04:02.555 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 22:04:02.555 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 22:04:02.556 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 22:04:02.556 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 22:04:02.556 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 22:04:02.557 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 22:04:02.561 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
2024-06-04 22:04:02.561 [ALFpaka] [WARNING] Log_spec ignored when pcen is set (librosa_extract_methods:84)
